Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
1720000,2.5618894,0.045769457,0.6022214,608.0,0.7458718612724624,0.7458718612724624,3.0615573519608006,1.0
1740000,2.559802,0.017239196,0.6057708,472.3243243243243,-0.3305432362264853,-0.3305432362264853,2.484734171145671,1.0
1760000,2.4799745,0.016344719,0.5790862,638.4102564102565,0.026036834010339686,0.026036834010339686,3.482682698455296,1.0
1780000,2.4813395,0.009004491,0.5990961,372.3673469387755,-0.30256000357447194,-0.30256000357447194,1.9193192996550352,1.0
1800000,2.4998627,0.041080505,0.5888048,438.1458333333333,-0.03431667146166243,-0.03431667146166243,2.264486335213102,1.0
1820000,2.5725617,0.06356225,0.57785535,618.6206896551724,0.4982034444230898,0.4982034444230898,3.4284262230041724,1.0
1840000,2.575722,-0.0016596451,0.6063898,341.10526315789474,-0.2928455982157111,-0.2928455982157111,1.7222874002090018,1.0
1860000,2.536217,0.02744159,0.62037843,278.0138888888889,-0.2428291725930952,-0.2428291725930952,1.390757969709941,1.0
1880000,2.5528474,0.07540972,0.58736664,380.69642857142856,-0.0739678578985539,-0.0739678578985539,1.8020430927572306,1.0
1900000,2.5535624,-0.105851986,0.5958284,207.96666666666667,-1.1714833275925938,-1.1714833275925938,1.0226320622126674,1.0
1920000,2.5832584,-0.06733035,0.610777,235.76288659793815,-0.7876309306005534,-0.7876309306005534,1.1106147830177713,1.0
1940000,2.6095386,-0.23304312,0.61022395,118.76923076923077,-1.529780982319646,-1.529780982319646,0.5699460978224599,1.0
1960000,2.6307507,-0.39908403,0.61897856,90.13333333333334,-1.4967272653242512,-1.4967272653242512,0.4130267909168043,1.0
1980000,2.5830138,-0.3773577,0.57329637,140.7463768115942,-1.3075811558823183,-1.3075811558823183,0.6520122244171258,1.0
2000000,2.6095657,-0.42956412,0.54857194,157.64566929133858,-1.4928634873705007,-1.4928634873705007,0.6927523665778738,1.0
2020000,2.5979657,-0.5268357,0.5487938,151.3955223880597,-1.3780362850486267,-1.3780362850486267,0.6983797401741699,1.0
2040000,2.6163065,-0.30312595,0.5280221,285.25757575757575,-1.1722575721708408,-1.1722575721708408,1.3774411026388407,1.0
2060000,2.5871837,-0.18721339,0.5438028,304.5507246376812,-0.5167884013532877,-0.5167884013532877,1.4643399823875423,1.0
2080000,2.5830934,-0.023762267,0.52053875,453.4871794871795,-0.38065128762928696,-0.38065128762928696,2.18304379695716,1.0
