Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
1360000,2.5092874,743.2068965517242,-0.17050643,-1.0451099957029024,-1.0451099957029024,0.0037579588,0.02929618,0.00027968423,1.0
1380000,2.498334,911.0,-0.15296876,-1.0143399998545646,-1.0143399998545646,0.0011607297,0.024043309,0.00027945175,1.0
1400000,2.5330517,843.3181818181819,-0.16338253,-1.0282590727914462,-1.0282590727914462,0.0020569598,0.022800256,0.00027922017,1.0
1420000,2.519575,748.3703703703703,-0.17655842,-1.3437296234899097,-1.3437296234899097,0.0030401256,0.02276727,0.00027891138,1.0
1440000,2.5188005,664.65625,-0.15891579,-0.9803333239573421,-0.9803333239573421,0.006252011,0.02300582,0.0002786027,1.0
1460000,2.4708176,894.8095238095239,-0.14670034,-1.0885333252095042,-1.0885333252095042,0.0014629149,0.018503355,0.0002782939,1.0
1480000,2.5066516,807.52,-0.14783692,-1.150391994714737,-1.150391994714737,0.0024673461,0.02298455,0.0002779847,1.0
1500000,2.4862413,638.1212121212121,-0.14656657,-1.0495060562635914,-1.0495060562635914,0.0048722154,0.022342151,0.00027767487,1.0
1520000,2.4821389,762.1666666666666,-0.1421989,-0.9732999907185634,-0.9732999907185634,0.0040817866,0.023722757,0.00027736503,1.0
1540000,2.4882255,950.1304347826087,-0.13435352,-1.0649136315015229,-1.0649136315015229,0.0025736103,0.024756338,0.00027705534,1.0
1560000,2.4386895,813.3478260869565,-0.1233838,-1.0114833262438576,-1.0114833262438576,0.0014849948,0.02496656,0.00027674576,1.0
1580000,2.4408221,689.7741935483871,-0.10305869,-0.9819033148388068,-0.9819033148388068,0.005105542,0.027336335,0.00027643802,1.0
1600000,2.3933966,690.2068965517242,-0.098048866,-1.0363733405868212,-1.0363733405868212,0.004472686,0.024288641,0.00027612946,1.0
1620000,2.4288735,899.7,-0.10536276,-0.95285498611629,-0.95285498611629,0.0017846946,0.023203466,0.00027582084,1.0
1640000,2.4479578,748.1923076923077,-0.077093214,-0.9240269001859885,-0.9240269001859885,0.0046911975,0.021417856,0.0002755126,1.0
1660000,2.3927455,862.96,-0.065589786,-1.0461679980158807,-1.0461679980158807,0.0021952812,0.024596587,0.00027520288,1.0
1680000,2.4588814,785.7857142857143,-0.08495418,-1.1993357161326068,-1.1993357161326068,0.0050259754,0.02331943,0.00027489458,1.0
1700000,2.4566793,810.5652173913044,-0.10259107,-0.9005304396800373,-0.9005304396800373,0.003455104,0.022469595,0.0002745859,1.0
1720000,2.4767444,759.6666666666666,-0.09838451,-1.0957916602492332,-1.0957916602492332,0.0026305404,0.015567404,0.00027435372,1.0
1740000,2.4726827,836.44,-0.121194586,-1.0794479927420617,-1.0794479927420617,0.0020894934,0.026016146,0.0002741221,1.0
1760000,2.428653,728.5555555555555,-0.13309401,-1.1053961458114476,-1.1053961458114476,0.003986711,0.02104317,0.00027381378,1.0
1780000,2.4615111,746.2692307692307,-0.13840766,-1.0731592567430601,-1.0731592567430601,0.0025920426,0.023578264,0.00027350517,1.0
1800000,2.4428527,680.7272727272727,-0.1163094,-0.9232031106948853,-0.9232031106948853,0.0065190857,0.027507633,0.0002731962,1.0
1820000,2.4845512,719.7407407407408,-0.09780509,-1.053682141005993,-1.053682141005993,0.0026425645,0.021923464,0.00027288485,1.0
1840000,2.4496324,743.24,-0.10330448,-0.9458999991416931,-0.9458999991416931,0.0026197059,0.021445883,0.0002725743,1.0
1860000,2.3936436,681.3214285714286,-0.11253367,-1.0608962892934128,-1.0608962892934128,0.0038912343,0.024734061,0.00027226668,1.0
1880000,2.4355323,810.4074074074074,-0.13643272,-1.0701785742172174,-1.0701785742172174,0.0020031377,0.022359492,0.00027195783,1.0
1900000,2.4525776,635.90625,-0.10752641,-1.045783874488646,-1.045783874488646,0.0012934577,0.022323888,0.00027164776,1.0
1920000,2.4842772,821.7727272727273,-0.12880374,-1.0281608642443367,-1.0281608642443367,0.0044082375,0.020591613,0.0002713383,1.0
1940000,2.4269514,657.1,-0.1261736,-1.0761399932205677,-1.0761399932205677,0.005233381,0.02474939,0.00027102785,1.0
1960000,2.4530313,702.1666666666666,-0.14000759,-1.0880766545732816,-1.0880766545732816,0.0069579603,0.02216541,0.00027071958,1.0
1980000,2.4140742,773.2692307692307,-0.2254655,-0.9875923011165398,-0.9875923011165398,0.004705411,0.022915147,0.00027041096,1.0
2000000,2.4559226,767.5833333333334,-0.17615485,-1.0203958293423057,-1.0203958293423057,0.0016687135,0.021880366,0.00027010206,1.0
2020000,2.4860013,904.5652173913044,-0.1406314,-1.0600565205449644,-1.0600565205449644,0.0022932987,0.023628576,0.00026979312,1.0
2040000,2.5032208,678.8333333333334,-0.1773928,-1.2479799844324588,-1.2479799844324588,0.005801926,0.020763744,0.0002694823,1.0
2060000,2.484358,806.4166666666666,-0.1477059,-0.8927249955013394,-0.8927249955013394,0.0013405787,0.023674877,0.00026925092,1.0
2080000,2.5144095,859.9583333333334,-0.17213963,-1.050566669863959,-1.050566669863959,0.0044338726,0.022288825,0.00026902038,1.0
2100000,2.4850333,856.9565217391304,-0.1581642,-1.0557086966607883,-1.0557086966607883,0.002043612,0.024004214,0.00026871203,1.0
2120000,2.5095227,898.2727272727273,-0.15352531,-1.0150499943305145,-1.0150499943305145,0.0022438865,0.02356296,0.00026840315,1.0
2140000,2.5294847,776.4074074074074,-0.15053265,-1.1551807700441434,-1.1551807700441434,0.0044233333,0.022697084,0.00026809407,1.0
2160000,2.5309842,875.9565217391304,-0.17278966,-1.009304161183536,-1.009304161183536,0.0009292139,0.025971781,0.00026778557,1.0
2180000,2.530082,638.2333333333333,-0.17893274,-1.1072100011010966,-1.1072100011010966,0.0030127831,0.026162364,0.00026747724,1.0
2200000,2.5551105,821.4,-0.18982649,-1.0441959956288338,-1.0441959956288338,0.0027100975,0.026820414,0.0002671686,1.0
2220000,2.5179555,815.3478260869565,-0.18192942,-1.0137521634283273,-1.0137521634283273,0.0011394925,0.018897615,0.00026686036,1.0
2240000,2.5521288,867.4090909090909,-0.14958604,-0.984009092504328,-0.984009092504328,0.0012393948,0.023304842,0.00026655078,1.0
